date,Case_Temperature,inputpower
2022-01-07 01:06:48,33.2,4.857
2022-01-07 01:06:49,33.2,4.857
2022-01-07 01:06:50,33.0,3.238
2022-01-07 01:06:51,33.0,3.238
2022-01-07 01:06:52,33.0,3.238
2022-01-07 01:06:53,33.2,4.5374
2022-01-07 01:06:54,33.2,4.5374
2022-01-07 01:06:55,33.2,4.5374
2022-01-07 01:06:56,33.3,4.212
2022-01-07 01:06:57,33.3,4.212
2022-01-07 01:06:58,33.3,4.212
2022-01-07 01:06:59,33.3,4.2042
2022-01-07 01:07:00,33.3,4.2042
2022-01-07 01:07:01,33.3,4.2042
2022-01-07 01:07:02,33.1,4.536
2022-01-07 01:07:03,33.1,4.536
2022-01-07 01:07:04,33.1,4.536
2022-01-07 01:07:05,33.0,3.564
2022-01-07 01:07:06,33.0,3.564
2022-01-07 01:07:07,33.0,3.564
2022-01-07 01:07:08,33.0,3.882
2022-01-07 01:07:09,33.0,3.882
2022-01-07 01:07:10,33.0,3.882
2022-01-07 01:07:11,33.3,3.564
2022-01-07 01:07:12,33.3,3.564
2022-01-07 01:07:13,33.3,3.564
2022-01-07 01:07:14,33.2,4.5304
2022-01-07 01:07:15,33.2,4.5304
2022-01-07 01:07:16,33.2,4.5304
2022-01-07 01:07:17,33.0,4.86
2022-01-07 01:07:18,33.0,4.86
2022-01-07 01:07:19,33.0,4.86
2022-01-07 01:07:20,33.2,4.8585
2022-01-07 01:07:21,33.2,4.8585
2022-01-07 01:07:22,33.2,4.8585
2022-01-07 01:07:23,33.2,6.8019
2022-01-07 01:07:24,33.2,6.8019
2022-01-07 01:07:25,33.2,6.8019
2022-01-07 01:07:26,33.0,4.2133
2022-01-07 01:07:27,33.0,4.2133
2022-01-07 01:07:28,33.0,4.2133
2022-01-07 01:07:29,33.0,4.8585
2022-01-07 01:07:30,33.0,4.8585
2022-01-07 01:07:31,33.0,4.8585
2022-01-07 01:07:32,33.2,5.5063
2022-01-07 01:07:33,33.2,5.5063
2022-01-07 01:07:34,33.2,5.5063
2022-01-07 01:07:35,33.2,4.5346
2022-01-07 01:07:36,33.2,4.5346
